PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,8811,1,LAA
PARTIDO BASTA YA,RN,,LAA,"BONICA SIERRA, Jorge Enrique",,39,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,2,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,5,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,6,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,6,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,2,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,8,LAA
PARTIDO IDENTIDAD SOBERANA,RN,,LAA,"SALLE LORIER, Gustavo Alberto",,18010,2,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,14,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,97,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,200,3,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,10,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,6,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,7,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,6,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,4,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,7001,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,20,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,800,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,11,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1358,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,3311,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,8009,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,14,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,949,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,4,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,9,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,11,LAA
PARTIDO IDENTIDAD SOBERANA,RN,,LAA,"SALLE LORIER, Gustavo Alberto",,18010,1,LAA
PARTIDO INDEPENDIENTE,RN,,LAA,"MIERES GOMEZ, Pablo Andres",,909,3,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,9,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,9,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,2,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,8,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,1,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,6,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,2,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,510,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,7001,2,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,15,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,800,5,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,10,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1358,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1808,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,2040,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,3311,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,9393,1,LAA
FRENTE AMPLIO,RN,,LAA,"LIMA PROSERPIO, Andrés Pablo",,319,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,46,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,11,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,711,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,2,LAA
PARTIDO BASTA YA,RN,,LAA,"BONICA SIERRA, Jorge Enrique",,39,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,2,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,1,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,6,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,8,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,6,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,6,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,8,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,200,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,11,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,3,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,17,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,5,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,3,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,510,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,7001,3,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,17,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,800,3,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,11,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1303,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1358,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,2040,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,502,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,15,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,4,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,2,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,3,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,1,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,2,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,5,LAA
PARTIDO INDEPENDIENTE,RN,,LAA,"MIERES GOMEZ, Pablo Andres",,909,2,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,14,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,97,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,200,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,7,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,2,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,15,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,5,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,13,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,800,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,5,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,2040,2,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,3311,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,5005,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,5640,1,LAA
FRENTE AMPLIO,RN,,LAA,"LIMA PROSERPIO, Andrés Pablo",,319,3,LAA
FRENTE AMPLIO,RN,,LAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,10,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,141,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,12,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,711,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,3,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,3,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,4,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,6,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,2,LAA
PARTIDO COLORADO,RN,,LAA,"VIERA DUARTE, Tabare",,42000,1,LAA
PARTIDO IDENTIDAD SOBERANA,RN,,LAA,"SALLE LORIER, Gustavo Alberto",,18010,2,LAA
PARTIDO INDEPENDIENTE,RN,,LAA,"MIERES GOMEZ, Pablo Andres",,909,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,2,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,10,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,97,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,200,2,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,7,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,28,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,6,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,4,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,510,3,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,7001,2,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,18,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,545,2,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,800,4,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,14,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1358,4,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,2040,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,8009,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,9,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,16,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,711,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1968,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,3,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,3,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,2,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,6,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,5,LAA
PARTIDO IDENTIDAD SOBERANA,RN,,LAA,"SALLE LORIER, Gustavo Alberto",,18010,5,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,19,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,5,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,2,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,18,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,4,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,2,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,5,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,510,3,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,8,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,15,LAA
FRENTE AMPLIO,RN,,LAA,"LIMA PROSERPIO, Andrés Pablo",,319,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,7,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,19,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,3,LAA
PARTIDO BASTA YA,RN,,LAA,"BONICA SIERRA, Jorge Enrique",,39,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,2,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,2,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,5,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,5,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,3,LAA
PARTIDO IDENTIDAD SOBERANA,RN,,LAA,"SALLE LORIER, Gustavo Alberto",,18010,2,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,10,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,97,2,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,5,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,13,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,1,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,5,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,3,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,510,3,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,7001,2,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,13,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,800,3,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,12,LAA
FRENTE AMPLIO,RN,,LAA,"LIMA PROSERPIO, Andrés Pablo",,319,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,502,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,17,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,8811,1,LAA
PARTIDO COLORADO,RN,,LAA,"ACHE BATLLE, Carolina",,919,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,3,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,5,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,2,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,4,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,2,LAA
PARTIDO COLORADO,RN,,LAA,"VIERA DUARTE, Tabare",,42000,1,LAA
PARTIDO IDENTIDAD SOBERANA,RN,,LAA,"SALLE LORIER, Gustavo Alberto",,18010,2,LAA
PARTIDO INDEPENDIENTE,RN,,LAA,"MIERES GOMEZ, Pablo Andres",,909,2,LAA
PARTIDO NACIONAL,RN,,LAA,"CORBRAN RIZZO, Roxana Lilián",,1007,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,5,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,97,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,200,5,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,4,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,3,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,10,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,13,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,2,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,510,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,7001,3,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,19,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,567,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,800,3,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,9,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,3311,2,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,9393,1,LAA
FRENTE AMPLIO,RN,,LAA,"LIMA PROSERPIO, Andrés Pablo",,319,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,46,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,52,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,8,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,4,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,11,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,949,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,8811,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,3,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,1125,3,LAA
